"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","418","Тест: Создание заказа с цветом ['GREY'] возвращает трек-номер и статус 201","tests","2025-12-04","passed","2025-12-04","TestCreateOrder","Тесты на создание заказа","",""
"","448","Тест: Создание заказа с цветом ['BLACK'] возвращает трек-номер и статус 201","tests","2025-12-04","passed","2025-12-04","TestCreateOrder","Тесты на создание заказа","",""
"","1565","test_create_courier_with_duplicate_login_returns_400_or_409_duplicate_message","tests","2025-12-04","passed","2025-12-04","TestCreateCourier","Тесты на создание курьера","",""
"","385","Тест: Создание заказа с цветом ['BLACK', 'GREY'] возвращает трек-номер и статус 201","tests","2025-12-04","passed","2025-12-04","TestCreateOrder","Тесты на создание заказа","",""
"","20761","test_login_courier_without_password_returns_400_insufficient_data_message","tests","2025-12-04","broken","2025-12-04","TestLoginCourier","Тесты на логин курьера","",""
"","9197","test_get_orders_list_returns_orders_array_200","tests","2025-12-04","passed","2025-12-04","TestGetOrdersList","Тесты на получение списка заказов","",""
"","448","Тест: Создание заказа с цветом [] возвращает трек-номер и статус 201","tests","2025-12-04","passed","2025-12-04","TestCreateOrder","Тесты на создание заказа","",""
"","1112","test_create_courier_without_first_name_returns_ok_true_201_or_fixes_api","tests","2025-12-04","passed","2025-12-04","TestCreateCourier","Тесты на создание курьера","",""
"","360","test_create_courier_without_password_returns_400_insufficient_data_message","tests","2025-12-04","passed","2025-12-04","TestCreateCourier","Тесты на создание курьера","",""
"","1421","test_create_courier_with_all_fields_returns_ok_true_201","tests","2025-12-04","passed","2025-12-04","TestCreateCourier","Тесты на создание курьера","",""
"","1758","test_login_courier_with_wrong_login_returns_404_account_not_found_message","tests","2025-12-04","passed","2025-12-04","TestLoginCourier","Тесты на логин курьера","",""
"","1239","test_login_courier_with_correct_data_returns_id_200","tests","2025-12-04","passed","2025-12-04","TestLoginCourier","Тесты на логин курьера","",""
"","2173","test_login_courier_with_wrong_password_returns_404_account_not_found_message","tests","2025-12-04","passed","2025-12-04","TestLoginCourier","Тесты на логин курьера","",""
"","1580","test_login_courier_without_login_returns_400_insufficient_data_message","tests","2025-12-04","passed","2025-12-04","TestLoginCourier","Тесты на логин курьера","",""
"","368","test_create_courier_without_login_returns_400_insufficient_data_message","tests","2025-12-04","passed","2025-12-04","TestCreateCourier","Тесты на создание курьера","",""
